"post_title","course_name"
"ARTS 281AA","Top:Wheel Throwing"
"ARTS 311A","Ceramics II"
"ARTS 331B","Sculpture II"
"ARTS 342","Painting II"
"ARTS 350","Photography II"
"ARTS 470A9","SS: Remix Culture"
"BIOL 126","Phage Hunters II w/lab"
"BIOL 127","Human Biology"
"BIOL 127","Human Biology"
"BIOL 127","Human Biology"
"BIOL 128","Current Topics in Biology"
"BIOL 128","Current Topics in Biology"
"BIOL 132","Organism Funct Diversity w/lab"
"BIOL 132","Organism Funct Diversity w/lab"
"BIOL 132","Organism Funct Diversity w/lab"